ID,seq_num,name,parent_group,Group_name,Label_name,Form_name,C_code,C_type,C_required,C_pattern,patterndesgin,parent_component_ID,date_modify,date_create,disable,label_icon,field_encry,required_error,patern_error
1,1,id,NULL,userloginID,User,insertform,S11,select,1,0,NULL,1,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
2,2,emailuser,NULL,NULL,Email,insertform,I12,input,1,1,[a-zA-Z0-9.!#$%&amp;â€™*+/=?^_`{|}~-]+@[a-zA-Z0-9-]+(?:.[a-zA-Z0-9-]+)+,1,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
3,3,emailPrimary,NULL,NULL,Primary,insertform,S13,select,1,0,NULL,1,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
4,4,id,NULL,datastatusID,Email Status,insertform,S14,select,1,0,NULL,1,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
5,5,button,NULL,NULL,submit,insertform,B15,button,1,0,NULL,1,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
6,1,username,NULL,userloginID,userloginID,table1,L26,label,1,0,NULL,2,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
7,2,emailuser,NULL,NULL,emailuser,table1,I27,input,1,0,NULL,2,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
8,3,emailPrimary,NULL,NULL,emailPrimary,table1,S28,select,1,0,NULL,2,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
9,4,id,NULL,datastatusID,datastatusID,table1,S29,select,1,0,NULL,2,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
10,5,button,NULL,NULL,update,table1,B210,button,1,0,NULL,2,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
11,6,button,NULL,NULL,delete,table1,B211,button,1,0,NULL,2,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
12,1,id,NULL,userloginID,User,insertform,S312,select,1,0,NULL,3,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
13,2,phoneNo,NULL,NULL,phoneNo,insertform,I313,input,1,1,"^[0-9]{1,12}$",3,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
14,3,telePrimary,NULL,NULL,Primary,insertform,S314,select,1,0,NULL,3,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
15,4,id,NULL,datastatusID,telephone Status,insertform,S315,select,1,0,NULL,3,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
16,5,button,NULL,NULL,submit,insertform,B316,button,1,0,NULL,3,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
17,1,username,NULL,userloginID,userloginID,table1,L417,label,1,0,NULL,4,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
18,2,phoneNo,NULL,NULL,phoneNo,table1,I418,input,1,0,NULL,4,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
19,3,telePrimary,NULL,NULL,telePrimary,table1,S419,select,1,0,NULL,4,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
20,4,id,NULL,datastatusID,datastatusID,table1,S420,select,1,0,NULL,4,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
21,5,button,NULL,NULL,update,table1,B421,button,1,0,NULL,4,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
22,6,button,NULL,NULL,delete,table1,B422,button,1,0,NULL,4,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
23,1,pagename,NULL,NULL,pagename,insertform,I523,input,1,0,NULL,5,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
24,2,pagemenu,NULL,NULL,pagemenu,insertform,I524,input,1,0,NULL,5,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
25,3,insert,NULL,NULL,submit,insertform,B525,button,1,0,NULL,5,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
26,1,pagename,NULL,NULL,NULL,table1,I626,input,1,0,NULL,6,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
27,2,pagemenu,NULL,NULL,NULL,table1,I627,input,1,0,NULL,6,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
28,3,update,NULL,NULL,submit,table1,B628,button,1,0,NULL,6,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
29,4,display,NULL,NULL,submit,table1,B629,button,1,0,NULL,6,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
30,2,firstName,user,NULL,firstName,insertform,I730,input,1,0,^([01][0-9][0-9]|2[0-4][0-9]|25[0-5])$,7,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
32,3,lastname,user,NULL,lastname,insertform,I732,input,1,0,NULL,7,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
33,4,birthdate,user,NULL,birthdate,insertform,I733,input,1,0,NULL,7,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
37,5,useridnumber,user,NULL,useridnumber,insertform,I737,input,1,0,NULL,7,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,1,{{field}} is required,{{data}} is wrong
38,6,IDimgaes,user,NULL,IDimgaes,insertform,I738,input,1,0,NULL,7,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
41,12,button,NULL,NULL,submit,insertform,B741,button,1,0,NULL,7,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
42,13,button,NULL,NULL,reset,insertform,B742,button,1,0,NULL,7,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
43,2,firstName,user,NULL,firstName,table1,I843,input,1,0,NULL,8,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
44,3,middleName,user,NULL,middleName,table1,I844,input,1,0,NULL,8,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
45,4,lastname,user,NULL,lastname,table1,I845,input,1,0,NULL,8,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
46,5,birthdate,user,NULL,birthdate,table1,I846,input,1,0,NULL,8,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
47,6,passportnumber,user,NULL,passportnumber,table1,I847,input,1,0,NULL,8,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
48,7,useridnumber,user,NULL,useridnumber,table1,I848,input,1,0,NULL,8,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
51,8,button,NULL,NULL,submit,table1,B851,button,1,0,NULL,8,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
52,9,button,NULL,NULL,Display,table1,B852,button,1,0,NULL,8,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
53,1,id,NULL,NULL,id,table1,L953,label,1,0,NULL,9,2020-01-04 14:17:05,2020-01-04 14:17:05,1,fas fa-user,0,{{field}} is required,{{data}} is wrong
54,2,devicename,NULL,NULL,devicename,table1,L954,label,1,0,NULL,9,2020-01-04 14:17:05,2020-01-04 14:17:05,1,fas fa-user,0,{{field}} is required,{{data}} is wrong
55,3,deviceinfo,NULL,NULL,deviceinfo,table1,L955,label,1,0,NULL,9,2020-01-04 14:17:05,2020-01-04 14:17:05,1,fas fa-user,0,{{field}} is required,{{data}} is wrong
56,4,deviceip,NULL,NULL,deviceip,table1,L956,label,1,0,NULL,9,2020-01-04 14:17:05,2020-01-04 14:17:05,1,fas fa-user,0,{{field}} is required,{{data}} is wrong
57,5,devicemac,NULL,NULL,devicemac,table1,L957,label,1,0,NULL,9,2020-01-04 14:17:05,2020-01-04 14:17:05,1,fas fa-user,0,{{field}} is required,{{data}} is wrong
58,6,deviceosversion,NULL,NULL,deviceosversion,table1,L958,label,1,0,NULL,9,2020-01-04 14:17:05,2020-01-04 14:17:05,1,fas fa-user,0,{{field}} is required,{{data}} is wrong
59,7,deviceosunknow,NULL,NULL,deviceosunknow,table1,L959,label,1,0,NULL,9,2020-01-04 14:17:05,2020-01-04 14:17:05,1,fas fa-user,0,{{field}} is required,{{data}} is wrong
60,8,devicetokean,NULL,NULL,devicetokean,table1,L960,label,1,0,NULL,9,2020-01-04 14:17:05,2020-01-04 14:17:05,1,fas fa-user,0,{{field}} is required,{{data}} is wrong
61,9,tokeantime,NULL,NULL,tokeantime,table1,L961,label,1,0,NULL,9,2020-01-04 14:17:05,2020-01-04 14:17:05,1,fas fa-user,0,{{field}} is required,{{data}} is wrong
62,10,id,NULL,devicetypeID,devtype,table1,S962,select,1,0,NULL,9,2020-01-04 14:17:05,2020-01-04 14:17:05,1,fas fa-user,0,{{field}} is required,{{data}} is wrong
63,11,id,NULL,deviceOSID,deviceOS,table1,S963,select,1,0,NULL,9,2020-01-04 14:17:05,2020-01-04 14:17:05,1,fas fa-user,0,{{field}} is required,{{data}} is wrong
64,11,id,NULL,devicestatusID,dstatus,table1,S964,select,1,0,NULL,9,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
65,12,button,NULL,NULL,Display,table1,B965,button,1,0,NULL,9,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
66,13,button,NULL,NULL,update,table1,B966,button,1,0,NULL,9,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
67,1,page_name,NULL,NULL,page_name,table1,L1067,label,1,0,NULL,10,2020-01-04 14:17:05,2020-01-04 14:17:05,1,fas fa-user,0,{{field}} is required,{{data}} is wrong
68,2,page_Date,NULL,NULL,page_Date,table1,L1068,label,1,0,NULL,10,2020-01-04 14:17:05,2020-01-04 14:17:05,1,fas fa-user,0,{{field}} is required,{{data}} is wrong
69,1,flowtype,NULL,NULL,flowtype,insertform,I1169,input,1,0,NULL,11,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
70,2,flowdescription,NULL,NULL,flowdescription,insertform,I1170,input,1,0,NULL,11,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
71,3,id,NULL,allstatusID,status,insertform,S1171,select,1,0,NULL,11,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
72,4,button,NULL,NULL,submit,insertform,B1172,button,1,0,NULL,11,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
73,1,flowtype,NULL,NULL,flowtype,table1,I1273,input,1,0,NULL,12,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
74,2,flowdescription,NULL,NULL,flowdescription,table1,I1274,input,1,0,NULL,12,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
75,3,id,NULL,allstatusID,status,table1,S1275,select,1,0,NULL,12,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
76,4,button,NULL,NULL,update,table1,B1276,button,1,0,NULL,12,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
77,1,currencyname,NULL,NULL,currencyname,insertform,I1377,input,1,0,NULL,13,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
78,2,currencydescription,NULL,NULL,flowdescription,insertform,I1378,input,1,0,NULL,13,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
79,2,currencyISO,NULL,NULL,currencyISO,insertform,I1379,input,1,0,NULL,13,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
80,3,id,NULL,allstatusID,status,insertform,S1380,select,1,0,NULL,13,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
81,4,button,NULL,NULL,submit,insertform,B1381,button,1,0,NULL,13,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
82,1,currencyname,NULL,NULL,currencyname,table1,I1482,input,1,0,NULL,14,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
83,2,currencydescription,NULL,NULL,currencydescription,table1,I1483,input,1,0,NULL,14,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
84,2,currencyISO,NULL,NULL,currencyISO,table1,I1484,input,1,0,NULL,14,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
85,3,id,NULL,allstatusID,status,table1,S1485,select,1,0,NULL,14,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
86,4,button,NULL,NULL,submit,table1,B1486,button,1,0,NULL,14,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
87,1,langaugecode,NULL,NULL,langaugecode,insertform,I1587,input,1,0,NULL,15,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
88,2,text1,NULL,NULL,Text,insertform,I1588,input,1,0,NULL,15,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
89,3,text2,NULL,NULL,Text,insertform,I1589,input,1,0,NULL,15,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
90,4,text3,NULL,NULL,Text,insertform,I1590,input,1,0,NULL,15,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
91,4,button,NULL,NULL,submit,insertform,B1591,button,1,0,NULL,15,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
92,1,langaugecode,NULL,NULL,langaugecode,table1,L1692,label,1,0,NULL,16,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
93,2,text1,NULL,NULL,EN,table1,I1693,input,1,0,NULL,16,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
94,3,text2,NULL,NULL,AR,table1,I1694,input,1,0,NULL,16,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
95,4,text3,NULL,NULL,FR,table1,I1695,input,1,0,NULL,16,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
96,5,button,NULL,NULL,submit,table1,B1696,button,1,0,NULL,16,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
97,1,button1,NULL,NULL,delete,table1,B1697,button,1,0,NULL,16,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
98,3,languagename,NULL,NULL,languagename,insertform,I1798,input,1,0,NULL,17,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
99,2,languagecode,NULL,NULL,languagecode,insertform,I1799,input,1,0,NULL,17,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
100,3,button,NULL,NULL,submit,insertform,B17100,button,1,0,NULL,17,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
101,1,languagename,NULL,NULL,languagename,table1,I18101,input,1,0,NULL,18,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
102,2,languagecode,NULL,NULL,languagecode,table1,I18102,input,1,0,NULL,18,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
103,3,button,NULL,NULL,submit,table1,B18103,button,1,0,NULL,18,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
105,2,username,login,NULL,username,insertform,I19105,input,1,0,NULL,19,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
106,3,passwordEncy,login,NULL,passwordEncy,insertform,I19106,input,1,0,NULL,7,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
107,4,notes,login,NULL,notes,insertform,I19107,input,1,0,NULL,7,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
110,2,username,login,NULL,username,table1,I20110,input,1,0,NULL,8,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
111,3,passwordEncy,login,NULL,passwordEncy,table1,I20111,password,1,0,NULL,8,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
112,4,notes,login,NULL,notes,table1,I20112,input,1,0,NULL,8,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
114,1,username,NULL,NULL,username,insertform,I21114,input,1,0,NULL,21,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
115,2,password,NULL,NULL,password,insertform,I21115,input,1,0,NULL,21,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
116,3,button,NULL,NULL,submit,table1,B21116,button,1,0,NULL,21,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
117,4,id,login,applicationID,applicationID,table1,S29,select,1,0,NULL,8,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
118,1,profileimg,user,NULL,profileimg,insertform,I738,input,1,0,NULL,7,2020-01-04 14:17:05,2020-01-04 14:17:05,0,fas fa-user,0,{{field}} is required,{{data}} is wrong
